Extension,YearMonth,count,points
.psd,2023-01,24,2
.psd,2023-02,10,1
.psd,2023-04,11,1
.psd,2023-06,12,1
.psd,2023-11,17,1
.psd,2023-12,19,1
.psd,2024-01,18,1
.psd,2024-02,44,4
.psd,2024-03,13,1
.psd,2024-04,38,3
.psd,2024-08,20,2
.psd,2024-09,15,1
.psd,2024-11,15,1
.psd,2024-12,14,1
.svg,2023-01,33,3
.svg,2023-02,24,2
.svg,2023-03,26,2
.svg,2023-04,17,1
.svg,2023-11,14,1
.svg,2024-01,10,1
.svg,2024-03,70,7
.svg,2024-04,20,2
.svg,2024-06,23,2
.tif,2024-03,15,1
.tif,2024-04,37,3
.tif,2024-06,69,6
.toe,2023-01,34,3
.toe,2024-06,15,1
.toe,2024-09,42,4
.toe,2024-12,14,1
.tweet,2017-09,10,1
.tweet,2017-11,11,1
.tweet,2019-12,11,1
.tweet,2020-02,12,1
.tweet,2020-03,60,6
.tweet,2020-04,249,24
.tweet,2020-05,231,23
.tweet,2020-06,459,45
.tweet,2020-07,445,44
.tweet,2020-08,269,26
.tweet,2020-09,260,26
.tweet,2020-10,333,33
.tweet,2020-11,104,10
.tweet,2020-12,168,16
.tweet,2021-01,198,19
.tweet,2021-02,106,10
.tweet,2021-03,101,10
.tweet,2021-04,132,13
.tweet,2021-05,20,2
.tweet,2021-07,35,3
.tweet,2021-08,40,4
.tweet,2021-12,33,3
.tweet,2022-01,62,6
.tweet,2022-02,116,11
.tweet,2022-03,58,5
.tweet,2022-04,50,5
.tweet,2022-05,37,3
.tweet,2022-06,28,2
.tweet,2022-07,75,7
.tweet,2022-08,57,5
.tweet,2022-09,16,1
.tweet,2024-05,10,1
.tweet,2024-06,15,1
.tweet,2024-07,27,2
.tweet,2024-08,37,3
.tweet,2024-09,10,1
.tweet,2024-10,11,1
.tweet,2024-11,11,1
.tweet,2024-12,14,1
.xmp,2021-03,73,7
.xmp,2021-04,12,1
.xmp,2021-08,12,1
.xmp,2022-01,14,1
.xmp,2022-05,134,13
.xmp,2022-08,19,1
.xmp,2022-11,167,16
.xmp,2022-12,28,2
.xmp,2023-01,31,3
.xmp,2023-08,67,6
.xmp,2023-10,352,35
.xmp,2024-01,51,5
.xmp,2024-11,40,4
